user,adgroup_id,pid,clk,cate_id,campaign_id,customer,price,cms_segid,cms_group_id,final_gender_code,age_level,pvalue_level,shopping_level,occupation,new_user_class_level,user_cate,pv_1,cart_1,fav_1,buy_1,pv_2,cart_2,fav_2,buy_2,pv_3,cart_3,fav_3,buy_3,brand_New
37,803611,430539_1007,0,1410,95462,1131,2688.0,0,2,2,2,999999999,3,0,2,37_1410,0,0,0,0,0,0,0,0,0,0,0,0,999999999
41,437561,430548_1007,1,4505,269421,233171,188.0,0,10,1,4,2,1,0,999999999,41_4505,12,0,0,0,0,0,0,0,25,0,0,0,445401
41,507252,430548_1007,0,4505,62528,1771,169.0,0,10,1,4,2,1,0,999999999,41_4505,12,0,0,0,0,0,0,0,25,0,0,0,109051
41,105431,430548_1007,0,4505,70378,141927,399.0,0,10,1,4,2,1,0,999999999,41_4505,12,0,0,0,0,0,0,0,25,0,0,0,57408
41,358889,430548_1007,0,4505,12647,65783,98.0,0,10,1,4,2,1,0,999999999,41_4505,12,0,0,0,0,0,0,0,25,0,0,0,999999999
41,369460,430548_1007,0,4505,242510,75652,98.0,0,10,1,4,2,1,0,999999999,41_4505,12,0,0,0,0,0,0,0,25,0,0,0,999999999
41,486988,430548_1007,0,4505,62188,145688,149.0,0,10,1,4,2,1,0,999999999,41_4505,12,0,0,0,0,0,0,0,25,0,0,0,448443
46,377805,430548_1007,0,5950,326361,250143,19.0,2,1,2,1,1,3,0,3,46_5950,0,0,0,0,0,0,0,0,4,0,0,0,999999999
56,24446,430548_1007,0,6283,22549,101385,299.0,81,10,1,4,2,3,0,4,56_6283,1,0,0,0,0,0,0,0,3,1,0,0,202862
67,238820,430548_1007,1,2468,423200,71887,2.2,0,2,2,2,1,3,0,999999999,67_2468,0,0,0,0,0,0,0,0,0,0,0,0,999999999
74,601737,430539_1007,0,978,106010,167962,198.0,20,3,2,3,2,3,0,3,74_978,0,0,0,0,0,0,0,0,0,0,0,0,85894
30,398991,430548_1007,0,4290,336253,39827,172.0,30,4,2,4,1,3,0,2,30_4290,4,0,0,0,2,0,0,0,2,1,0,0,414024
30,398991,430548_1007,0,4290,336253,39827,172.0,30,4,2,4,1,3,0,2,30_4290,4,0,0,0,2,0,0,0,2,1,0,0,414024
56,602338,430548_1007,0,4753,150068,21689,3.3,81,10,1,4,2,3,0,4,56_4753,0,0,0,0,1,0,0,0,0,0,0,0,999999999
90,653390,430539_1007,1,6806,113298,171587,188.0,57,8,1,2,2,3,0,3,90_6806,0,0,0,0,2,0,0,0,19,0,0,0,284128
101,430537,430548_1007,0,367,196479,99181,148.0,8,2,2,2,1,3,0,4,101_367,0,0,0,0,48,3,0,0,81,2,0,1,11316
101,60381,430548_1007,0,367,61333,144567,100.0,8,2,2,2,1,3,0,4,101_367,0,0,0,0,48,3,0,0,81,2,0,1,393401
101,300820,430548_1007,0,367,321819,225386,56.0,8,2,2,2,1,3,0,4,101_367,0,0,0,0,48,3,0,0,81,2,0,1,999999999
101,561690,430548_1007,0,367,294445,160651,56.0,8,2,2,2,1,3,0,4,101_367,0,0,0,0,48,3,0,0,81,2,0,1,278545
104,711674,430539_1007,0,1535,151108,10389,318.0,56,8,1,2,2,3,0,2,104_1535,0,0,0,0,19,0,1,0,70,0,1,0,16703
106,507267,430548_1007,0,6261,160397,6671,498.0,0,3,2,3,999999999,3,0,999999999,106_6261,0,0,0,0,5,0,0,0,11,0,0,0,234846
106,507267,430548_1007,0,6261,160397,6671,498.0,0,3,2,3,999999999,3,0,999999999,106_6261,0,0,0,0,5,0,0,0,11,0,0,0,234846
106,642415,430548_1007,0,6261,275069,20806,198.0,0,3,2,3,999999999,3,0,999999999,106_6261,0,0,0,0,5,0,0,0,11,0,0,0,176515
18,572621,430548_1007,0,6427,361523,220493,69.0,0,3,2,3,999999999,2,0,999999999,18_6427,0,0,0,0,0,0,0,0,13,2,0,0,163299
18,590368,430548_1007,0,6427,362057,212338,69.0,0,3,2,3,999999999,2,0,999999999,18_6427,0,0,0,0,0,0,0,0,13,2,0,0,999999999
18,648162,430548_1007,0,6427,331609,250277,12.9,0,3,2,3,999999999,2,0,999999999,18_6427,0,0,0,0,0,0,0,0,13,2,0,0,999999999
